datetime,tempmax,tempmin,windspeed,cloudcover
2021-05-25,16.1,7,24.7,59.2
2021-05-26,16.1,6.5,18.6,55.9
2021-05-27,20.1,7.6,12.3,33.9
2021-05-28,19.5,10.1,10.4,66.9
2021-05-29,21,12.6,18.9,45.6
2021-05-30,20,9.6,17.9,43.2
2021-05-31,24,10.1,17.6,36.7
2021-06-01,24.6,12.1,22.3,8.4
2021-06-02,26.8,13,15.8,40.9
2021-06-03,24,17.6,16.4,63.9
2021-06-04,17,14.1,11.7,70.9
2021-06-05,23.6,13.1,13.4,40.8
2021-06-06,23.1,13.1,11.4,54
2021-06-07,23,14.6,15.6,60
2021-06-08,24.1,13,14.4,27.8
2021-06-09,25.6,12.6,19.4,12.2
2021-06-10,23.6,15.6,18.1,66.6
2021-06-11,24.1,16.8,22.4,82.9
2021-06-12,24,15,16.8,40.8
2021-06-13,27.6,14.6,16.8,6.2
2021-06-14,28.1,16.1,12.8,27.6
2021-06-15,25.6,15.5,15.8,62.3
2021-06-16,28.1,15.1,16.5,40.3
2021-06-17,21.5,16.6,13.3,85.9
2021-06-18,16.6,12.6,17.4,97.8
2021-06-19,16,12.5,13.9,97.5
2021-06-20,18.1,13.1,17.6,95.1
2021-06-21,14.5,12.1,20.1,88.8
2021-06-22,16.5,12,22.5,69.7
2021-06-23,21.1,9.6,12.2,29
2021-06-24,21.5,10,14.3,57.3
2021-06-25,21.5,14.1,14.5,69.2
2021-06-26,21.2,14.6,15.5,63.4
2021-06-27,20.5,16,19.7,90.6
2021-06-28,21,15.6,14.9,88.9
2021-06-29,19,15,17.7,89.8
2021-06-30,17.1,14,12.8,90.3
2021-07-01,21.6,13.6,10.1,60.1
2021-07-02,23.6,15.1,14.9,68.6
2021-07-03,20.6,16.5,19.2,83.4
2021-07-04,20.6,15,24,79
2021-07-05,20.6,14.1,23.4,73
2021-07-06,18.6,13.6,29.9,69.1
2021-07-07,20,13.5,24.9,72
2021-07-08,21.1,14.6,15.9,65.3
2021-07-09,23.6,15.6,17.5,68.6
2021-07-10,18.1,14.1,11,64
2021-07-11,21.1,13,15.6,60.8
2021-07-12,21.5,14.1,11.2,77.4
2021-07-13,23.1,16.1,17.8,60.7
2021-07-14,24.6,15.1,19.7,44.3
2021-07-15,21.1,15.5,17.2,51.9
2021-07-16,26.1,12.5,19.2,12
2021-07-17,28,16.1,12.4,2.1
2021-07-18,31,15.6,9.5,10.2
2021-07-19,30.1,18.5,12.2,12.9
2021-07-20,30.5,18,15.5,15
2021-07-21,29.6,18.6,13.9,11.8
2021-07-22,28.5,18.1,12.6,4.6
2021-07-23,23.6,16.5,23.7,38.8
2021-07-24,23,16.5,21.9,84.8
2021-07-25,21.6,17.2,16.6,84.7
2021-07-26,24.5,16.6,14.5,67
2021-07-27,21.6,17,19.7,69.3
2021-07-28,20.6,14,24.8,68.4
2021-07-29,22,12.5,27.3,37.5
2021-07-30,19,14.6,34.7,78.9
2021-07-31,21,13.6,19,64.2
2021-08-01,21,15,14.9,81.5
2021-08-02,19.6,13.6,13.8,65.8
2021-08-03,21.5,12.6,11.3,57.2
2021-08-04,22.1,13,12.8,42.9
2021-08-05,20.6,13.5,24.9,63.9
2021-08-06,22.6,15.1,31.4,67.8
2021-08-07,20.1,14,23.7,61.2
2021-08-08,19.6,13.6,25.9,56.8
2021-08-09,22,13.6,23.1,67
2021-08-10,24,13.1,14.4,47.1
2021-08-11,23.3,13.6,15.1,35.3
2021-08-12,22,16.5,20.5,73.8
2021-08-13,21.6,14.5,21,54.9
2021-08-14,24.6,14.6,20,58.6
2021-08-15,23,15.1,25.4,70.4
2021-08-16,18.5,13.5,21.4,62.3
2021-08-17,18.6,11.6,20.5,81.6
2021-08-18,22.6,15.6,23.9,84.1
2021-08-19,21.1,14.1,17.9,84.5
2021-08-20,21.1,15,12,82.3
2021-08-21,20.5,16.1,14.9,71.4
2021-08-22,22.5,15.5,17.6,76.4
2021-08-23,20.6,15.5,15.8,67.2
2021-08-24,23.1,13.6,19,47.3
2021-08-25,22.1,14.1,17.2,44.9
2021-08-26,18.5,16,21,96.3
2021-08-27,19,12.6,16.4,64.8
2021-08-28,20.5,12.6,17.4,57.1
2021-08-29,19,11,17.1,61.8
2021-08-30,17,14.1,18.6,96.9
2021-08-31,18.6,14.1,17.5,94.9
2021-09-01,18.1,14.6,17.2,95.5
2021-09-02,19.6,15.5,21.1,90.4
2021-09-03,21.1,14.6,15.1,72.4
2021-09-04,19.1,14.5,15.4,79.7
2021-09-05,25.1,14.1,10.5,45.8
2021-09-06,27.6,14.6,7.1,23.9
2021-09-07,29.5,15.6,14.4,2.1
2021-09-08,28.5,16.5,18.8,19.6
2021-09-09,22.1,16.5,21,78.9
2021-09-10,22.1,17.1,19,78.6
2021-09-11,22.6,16.5,17.8,72.2
2021-09-12,21.1,12.5,9.1,58
2021-09-13,20.2,14.1,17.5,65.9
2021-09-14,19.5,16.1,11.3,83.9
2021-09-15,20,14.1,13.7,69.3
2021-09-16,23.3,11.6,11,21.5
2021-09-17,21.1,13.3,0.1,52.8
2021-09-18,24,13.6,0.1,51.3
2021-09-19,20.3,15.6,0.1,65.8
2021-09-20,19.1,13,0.1,61.5
2021-09-21,21.1,11.6,0.1,40.3
2021-09-22,22.1,11.1,0.1,17.6
2021-09-23,20.8,12.1,0.1,45.7
2021-09-24,23.1,13.1,0.1,42.7
2021-09-25,18.6,14.3,0.1,74.1
2021-09-26,22.1,13.6,0.2,67.9
2021-09-27,18.1,12.8,0.2,51.1
2021-09-28,17.8,11,0.2,56.3
2021-09-29,16,9,14.2,30.8
2021-09-30,16.1,7.6,0.2,76
2021-10-01,17.6,10.1,0.2,59.2
2021-10-02,17,8.1,0.2,67.6
2021-10-03,17.1,10.6,0.2,43.4
2021-10-04,17.1,10.6,0.2,48.7
2021-10-05,14.6,11.1,0.2,59.2
2021-10-06,17.3,10,0.2,20.1
2021-10-07,17.8,11.6,0.1,89
2021-10-08,17.6,13.3,0.1,97.1
2021-10-09,19.5,9.3,3.9,37.8
2021-10-10,19.1,9.8,0.1,57.3
2021-10-11,15.8,9.3,0.1,24.7
2021-10-12,15.6,7.8,0.1,53.4
2021-10-13,15.8,7.8,10.3,69.9
2021-10-14,17.6,10,0.1,78.5
2021-10-15,14.1,9.6,0.1,88.4
2021-10-16,15.6,8.5,0.1,67
2021-10-17,16.8,10.6,0.1,47.4
2021-10-18,17.1,9.3,0.1,68.4
2021-10-19,20.1,16.6,0.2,94.2
2021-10-20,18.6,11,21.9,68.8
2021-10-21,12.3,6,0.2,40
2021-10-22,13,5.2,0.2,48.9
2021-10-23,13.6,9.5,0.1,92.9
2021-10-24,15.1,12.1,0.1,85
2021-10-25,15.8,9.1,0.1,35.2
2021-10-26,16.6,9.1,0.1,79
2021-10-27,17.1,14.3,0.2,87.7
2021-10-28,15.6,12.1,0.2,68.2
2021-10-29,15.3,10.6,0.2,66.9
2021-10-30,14.6,9.8,0.1,40.2
2021-10-31,14.8,8.6,0.3,42.9
2021-11-01,13.6,6.1,18.5,25.6
2021-11-02,12.5,3.5,0.1,13.3
2021-11-03,9.8,2.1,0.1,52.5
2021-11-04,10.1,5.6,0.1,74.1
2021-11-05,9.8,0.8,0.1,46.3
2021-11-06,12.8,8.6,0.2,82.8
2021-11-07,13.1,6.1,11.9,18.9
2021-11-08,12.1,3.8,0.1,54.7
2021-11-09,15.6,10.3,0.1,65.4
2021-11-10,13,9.4,0.1,94.2
2021-11-11,15.8,10.1,0.1,77.1
2021-11-12,15.1,9.8,0.2,76.9
2021-11-13,13.1,10.6,0.1,90.1
2021-11-14,13.6,10.5,0.1,85.8
2021-11-15,11.8,10.3,7.2,92.5
2021-11-16,12,5.3,0.1,72
2021-11-17,12.1,6.1,0.1,22.6
2021-11-18,13.6,5.4,0.1,62.6
2021-11-19,12.3,10.8,0.1,97.4
2021-11-20,10.8,9.3,0.1,95.5
2021-11-21,9.6,4.6,0.2,48.6
2021-11-22,9.8,4.6,0.1,10.7
2021-11-23,9.3,2.5,0.1,22.7
2021-11-24,7.6,2.9,0.1,92.2
2021-11-25,7.5,3.1,0.1,38.7
2021-11-26,9.5,2.5,0.2,61.2
2021-11-27,5.3,2.9,0.2,90.7
2021-11-28,4.5,0.6,0.2,31.2
2021-11-29,3.8,-2.2,0.1,55.1
2021-11-30,11.8,5.1,0.2,87
2021-12-01,11.1,4,0.2,68.3
2021-12-02,5.3,1.1,0.2,30.4
2021-12-03,9.3,2,13.8,86.8
2021-12-04,8.1,3.6,0.2,56.4
2021-12-05,7.1,4.4,0.2,84.4
2021-12-06,6.9,3.1,0.2,54.7
2021-12-07,8.1,1.4,0.2,56.4
2021-12-08,8.3,5.6,25.5,52.4
2021-12-09,8.3,3.6,0.1,64.8
2021-12-10,8.1,3.5,0.2,51.4
2021-12-11,10.8,1.7,0.1,69.1
2021-12-12,13.3,10.6,0.1,90.3
2021-12-13,11.8,9.8,0.1,90.5
2021-12-14,12.8,9.6,0.1,92
2021-12-15,13.1,10.1,0.1,95
2021-12-16,12.1,10.8,3.6,99.7
2021-12-17,11.5,7.4,0.1,97.9
2021-12-18,8.8,7.5,0.1,100
2021-12-19,7.3,3.8,9.1,99.7
2021-12-20,7.6,6.3,0.1,97.1
2021-12-21,6.5,1.3,0.1,83.1
2021-12-22,5.1,1,8.9,42.2
2021-12-23,10.8,4.5,0.1,81.9
2021-12-24,10.6,6.3,0.1,82.6
2021-12-25,8.6,5.8,21.4,98.3
2021-12-26,8.9,5.5,0.1,94.8
2021-12-27,11.3,8,0.1,88.4
2021-12-28,11.6,9.1,0.2,88.7
2021-12-29,15.1,7.8,0.2,80.1
2021-12-30,14.8,13.6,0.2,94.7
2021-12-31,15,12.8,0.2,88.9
2022-01-01,16.1,13.1,0.2,74.5
2022-01-02,13.3,9.8,0.2,67.9
2022-01-03,11,9.1,0.2,59
2022-01-04,9,2.1,16.7,59.8
2022-01-05,6.5,1.1,0.1,10.2
2022-01-06,7.3,-1.9,3.4,48.6
2022-01-07,6.3,1.1,0.2,36.2
2022-01-08,10,1.3,8.7,69.8
2022-01-09,7.7,2.3,14.8,17.8
2022-01-10,9.1,1.6,6.6,73.6
2022-01-11,10.5,8.6,0.1,97.6
2022-01-12,8.1,2.3,0,18.4
2022-01-13,8.4,1.1,3.6,11
2022-01-14,8.9,0,4.7,2.6
2022-01-15,5.6,2.3,4.8,54.6
2022-01-16,9.1,4.1,0.1,62.8
2022-01-17,8.8,0.8,0.1,0.5
2022-01-18,6.8,-1.2,3.4,57.1
2022-01-19,9.3,5.1,20.1,67.8
2022-01-20,6.1,2.1,15.5,40.2
2022-01-21,4.6,-1.2,13.5,60.9
2022-01-22,6.8,1.7,10.7,87.5
2022-01-23,6.6,5.6,6.6,100
2022-01-24,6,3.6,0.1,100
2022-01-25,3.6,2.1,4.9,100
2022-01-26,8.1,3.1,4.1,87.8
2022-01-27,12.1,4.3,12.8,55.8
2022-01-28,9.8,2.1,18.7,53.9
2022-01-29,13.3,7.6,37.9,72.5
2022-01-30,8.3,1.6,13.1,32.4
2022-01-31,9.1,5.5,33.9,46.4
2022-02-01,14.3,5.8,19.3,64.2
2022-02-02,11.8,8.5,24.3,57.3
2022-02-03,10.1,7.6,12,91.9
2022-02-04,10.1,4,21.4,58.4
2022-02-05,10.6,2.3,29,38.5
2022-02-06,12.1,7,34.6,65.3
2022-02-07,11.1,2.3,17.8,50.3
2022-02-08,12.6,10.1,0.2,97.5
2022-02-09,13.6,8.3,5.4,82.4
2022-02-10,8.8,4.1,11,52.1
2022-02-11,8.6,1.3,10.5,31.5
2022-02-12,9.5,3.3,7.3,58.8
2022-02-13,10.1,7.5,0.2,94.5
2022-02-14,9.3,5.8,15.2,71.4
2022-02-15,10,2.9,30.9,60.2
2022-02-16,15.3,9.3,24.8,88.1
2022-02-17,11.5,8.3,44.2,59.3
2022-02-18,11.6,4.6,50.2,67.6
2022-02-19,10.3,3,33.4,30.9
2022-02-20,12.6,6,34.6,79.9
2022-02-21,11.1,4.8,46.1,46.5
2022-02-22,13.5,5.6,15.2,53.8
2022-02-23,10.8,3.1,13,45.8
2022-02-24,9.1,4,25.8,50.5
2022-02-25,11.1,3.6,22.8,12.5
2022-02-26,11.1,1.3,14.3,8.2
2022-02-27,11.3,3.6,19.6,0
2022-02-28,12.5,6.1,21.6,77.6
2022-03-01,9.8,7.3,16.1,98.1
2022-03-02,8.3,6.4,14.2,88.8
2022-03-03,12.8,6.5,12.4,81.3
2022-03-04,9.3,6.6,6.1,91.2
2022-03-05,7.5,5,0.2,95.7
2022-03-06,8.1,4.3,23.2,84.3
2022-03-07,7.8,3.1,0.2,57.2
2022-03-08,12.6,1.5,0.1,14.2
2022-03-09,12.8,8.6,0.2,73.1
2022-03-10,16,8,0.1,51.4
2022-03-11,13.1,9,24.8,58.7
2022-03-12,13,8.1,28.5,57.8
2022-03-13,12.1,7.5,21.6,74.6
2022-03-14,12.8,4.5,16,37.3
2022-03-15,15.6,6.3,13.5,38.7
2022-03-16,11.3,7.1,21.8,88.2
2022-03-17,14.1,3,23.7,19.9
2022-03-18,16.3,4.6,21.8,8.2
2022-03-19,13.6,8.3,31.2,0
2022-03-20,12,5.1,19.7,11
2022-03-21,16.6,2,13.2,3.7
2022-03-22,20,9.3,17.7,28.3
2022-03-23,19.5,7.3,13.1,3.5
2022-03-24,19.1,5.1,7.6,0.7
2022-03-25,17.8,7.3,18.2,2.1
2022-03-26,17.6,7.1,21.2,1.4
2022-03-27,13.3,6.8,14.2,50.2
2022-03-28,14.9,4.8,12,34.2
2022-03-29,11.1,8,17,79.4
2022-03-30,12.3,4.5,22,94.2
2022-03-31,8.1,2.1,29.3,56
2022-04-01,8.5,1.8,28.5,27.6
2022-04-02,8.1,1.6,20.6,26.9
2022-04-03,9.1,0,15.8,25.5
2022-04-04,14.6,5.1,26,88.6
2022-04-05,14.6,10.6,30,93.9
2022-04-06,13.6,9.4,34.2,77.9
2022-04-07,14.1,7,51.3,58.6
2022-04-08,11.8,3.5,20,37.9
2022-04-09,12.5,2.8,21.7,30.8
2022-04-10,13.3,2.1,15.9,21
2022-04-11,17.3,6.6,30.3,24.6
2022-04-12,18.6,10.6,21.1,50.9
2022-04-13,17.7,10.5,20.4,64.1
2022-04-14,19.6,8.6,12.4,41.7
2022-04-15,22.8,9,14.3,16.7
2022-04-16,18.7,9,17.5,7.4
2022-04-17,19.3,8.1,19.3,9
2022-04-18,17.3,8.1,13.8,28.4
2022-04-19,16,8.8,16,44.3
2022-04-20,18.1,7.8,24.1,22.6
2022-04-21,18.6,7.8,25.4,7.4
2022-04-22,15.5,9.3,28.4,66.2
2022-04-23,16.8,10.3,31.7,66.9
2022-04-24,18.1,8.6,21.8,24.6
2022-04-25,14.6,7.1,16,46.4
2022-04-26,15.6,6.1,17.5,21.6
2022-04-27,11.3,7.6,16.7,81.6
2022-04-28,14,7.1,14.9,66.1
2022-04-29,11.1,7.1,15.6,76.8
2022-04-30,18.1,5.3,12.5,24.8
2022-05-01,14.8,10.3,14.2,74.3
2022-05-02,16.8,9,7.6,82.3
2022-05-03,14.6,11.1,11.3,85.5
2022-05-04,17.3,10.8,17.2,71.4
2022-05-05,19.6,7.3,14.9,40.7
2022-05-06,22.8,10.3,23,22.8
2022-05-07,18.5,12.8,15.9,71.2
2022-05-08,18.3,10.3,15.4,40
2022-05-09,22,8.3,25.9,24.1
2022-05-10,20,14.6,25.6,67.4
2022-05-11,15.6,11.1,27.4,66.4
2022-05-12,18.1,8.3,26.2,37.3
2022-05-13,21,10.6,27.2,46.5
2022-05-14,23.1,8.6,13,17.5
2022-05-15,17.5,14.1,19.3,53.1
2022-05-16,21,12.8,28.9,60.6
2022-05-17,25.5,11.5,24.9,29.7
2022-05-18,23,12.1,19,20.9
2022-05-19,22,14.3,19.6,45.1
2022-05-20,17.8,12.5,25.2,62.6
2022-05-21,20,10.5,19,29
2022-05-22,23.6,10.3,18.4,14.5
2022-05-23,18.8,12.8,18.2,67.5
2022-05-24,17.1,10.1,17.9,58.4
2022-05-25,18.5,9.5,31,54
2022-05-26,19.6,10.4,29.2,69.2
